event_number,track_id,record_index,step_number,vlm,pdg,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,stored_et_keV,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au,px,py,pz
82,1,7,7,4,22,662.0,195.46274,466.53726,,122.590932,-0.538637,784.757991,-88.590385,-23.767468,23.767468,-0.158114,0.538637,-0.827569
90,1,7,7,4,22,662.0,374.429045,287.570955,,76.594251,0.231846,680.812069,-124.562685,-33.418295,33.418295,0.277024,-0.231846,0.932473
95,1,7,7,4,22,662.0,198.263016,463.736984,,139.265435,-0.757741,822.471497,-123.116829,-33.030394,33.030394,0.074533,0.757741,0.648285
251,1,7,7,4,22,662.0,536.743636,125.256364,,34.928584,0.819866,379.079,-20.693422,-5.551734,5.551734,0.556259,-0.819866,-0.135629
257,1,7,7,4,22,662.0,488.858198,173.141802,,43.396969,0.726611,454.894084,-32.950204,-8.840044,8.840044,0.636653,-0.726611,-0.258281
338,1,7,7,4,22,662.0,438.848501,223.151499,,52.591534,0.607493,527.121368,-47.234003,-12.672173,12.672173,0.785927,-0.607493,-0.1152
346,1,8,8,4,22,662.0,555.848933,106.151067,,25.097177,0.90559,284.163237,48.80583,13.09387,13.09387,0.242298,-0.90559,0.348136
545,1,7,7,4,22,662.0,594.349042,67.650958,,24.19731,0.912139,271.506507,-8.427983,-2.261101,2.261101,0.341144,-0.912139,0.227206
568,1,6,6,4,22,662.0,528.238322,133.761678,,36.434402,0.804537,393.187398,-22.752376,-6.10412,6.10412,0.574962,-0.804537,0.148791
728,1,10,10,4,22,662.0,227.194134,434.805866,,106.834827,-0.289614,759.590952,-87.288309,-23.418141,23.418141,0.835312,0.289614,0.46731
739,1,7,7,4,22,662.0,594.018809,67.981191,,24.264037,0.911661,272.209609,-8.488485,-2.277333,2.277333,0.407809,-0.911661,-0.050651
894,1,7,7,4,22,662.0,467.888448,194.111552,,47.174847,0.679763,485.860965,-38.775364,-10.402847,10.402847,0.70983,-0.679763,-0.184562
1127,1,7,7,4,22,662.0,602.865667,59.134333,,22.439194,0.924285,252.847836,-6.914713,-1.855113,1.855113,0.355808,-0.924285,-0.138195
1243,1,7,7,4,22,662.0,505.782272,156.217728,,40.395635,0.761588,429.019995,-28.441143,-7.630331,7.630331,0.627281,-0.761588,-0.162798
1302,1,6,6,4,22,662.0,550.015326,111.984674,,32.558902,0.842839,356.354682,-17.595283,-4.72055,4.72055,0.493197,-0.842839,-0.215359
1357,1,7,7,4,22,662.0,503.759984,158.240016,,40.752905,0.757532,432.158367,-28.970349,-7.772309,7.772309,0.597456,-0.757532,0.263042
1379,1,6,6,4,22,662.0,565.850215,96.149785,,29.67614,0.868838,327.886645,-14.097207,-3.782069,3.782069,0.490442,-0.868838,0.067735
1520,1,7,7,4,22,662.0,572.348455,89.651545,,28.467116,0.879091,315.691436,-12.729525,-3.41514,3.41514,0.395712,-0.879091,0.265728
1569,1,6,6,4,22,662.0,443.320059,218.679941,,52.561544,0.607909,527.220111,-51.657879,-13.859032,13.859032,0.673992,-0.607909,0.419739
1653,1,7,7,4,22,662.0,554.583324,107.416676,,31.73487,0.850491,348.307265,-16.563117,-4.443635,4.443635,0.502654,-0.850491,0.154932
