event_number,et_index,stored_et_keV,number_of_vlm4_gamma_records
82,0,661.9999999999999,1
82,1,0.0,1
82,2,0.0,1
82,3,101.00367571840086,1
82,4,560.9963242815991,1
90,0,287.5709545091885,2
90,1,0.0,2
90,2,0.0,2
90,3,101.26909186597388,2
90,4,186.30186264321458,2
95,0,662.0,2
95,1,0.0,2
95,2,0.0,2
95,3,40.45880184733919,2
95,4,621.5411981526609,2
251,0,125.25636420105002,1
251,1,0.0,1
251,2,0.0,1
251,3,125.25636420105002,1
257,0,173.14180189945765,1
257,1,0.0,1
257,2,0.0,1
257,3,173.14180189945765,1
338,0,223.15149854075185,1
338,1,0.0,1
338,2,0.0,1
338,3,223.15149854075185,1
346,0,106.15106724426883,2
346,1,0.0,2
346,2,0.0,2
346,3,73.15715257912747,2
346,4,32.99391466514135,2
545,0,67.65095762001572,1
545,1,0.0,1
545,2,0.0,1
545,3,67.65095762001572,1
568,0,133.76167780668501,1
568,1,0.0,1
568,2,0.0,1
568,3,133.76167780668501,1
728,0,434.8058662305676,1
728,1,0.0,1
728,2,0.0,1
728,3,14.610637663110992,1
728,4,0.0,1
728,5,420.1952285674566,1
739,0,67.98119070547348,1
739,1,0.0,1
739,2,0.0,1
739,3,67.98119070547348,1
894,0,194.11155169702022,1
894,1,0.0,1
894,2,0.0,1
894,3,194.11155169702022,1
1127,0,59.1343325495618,1
1127,1,0.0,1
1127,2,0.0,1
1127,3,59.1343325495618,1
1243,0,156.2177282698247,1
1243,1,0.0,1
1243,2,0.0,1
1243,3,156.2177282698247,1
1302,0,111.98467381390753,1
1302,1,0.0,1
1302,2,0.0,1
1302,3,111.98467381390753,1
1357,0,158.24001589712344,1
1357,1,0.0,1
1357,2,0.0,1
1357,3,158.24001589712344,1
1379,0,96.1497853631441,1
1379,1,0.0,1
1379,2,0.0,1
1379,3,96.1497853631441,1
1520,0,89.65154474646053,1
1520,1,0.0,1
1520,2,0.0,1
1520,3,89.65154474646053,1
1569,0,218.67994093193977,2
1569,1,0.0,2
1569,2,0.0,2
1569,3,161.31323721023193,2
1569,4,57.36670372170782,2
1653,0,107.41667591683179,1
1653,1,0.0,1
1653,2,0.0,1
1653,3,107.41667591683179,1
1748,0,114.348705268008,1
1748,1,0.0,1
1748,2,0.0,1
1748,3,114.348705268008,1
1825,0,180.70479359314962,1
1825,1,0.0,1
1825,2,0.0,1
1825,3,180.70479359314962,1
1852,0,127.18214099590375,1
1852,1,0.0,1
