event_number,record_index,vlm,pdg,Eprime_k_keV,Et_662_minus_k_keV,theta_energy_deg,theta_direction_deg,delta_theta_deg,px,py,pz
82,7,4,22,195.46274048723154,466.53725951276846,147.3950309708004,122.59093188983675,-24.804099080963653,-0.1581141006732662,0.5386374446841208,-0.8275685073469417
90,7,4,22,374.4290454908116,287.5709545091884,65.97352223246165,76.59425063129142,10.620728398829769,0.27702417357388437,-0.2318455159253426,0.9324726612619901
90,8,4,22,374.4290454908116,287.5709545091884,65.97352223246165,76.59425063129142,10.620728398829769,0.27702417357388437,-0.2318455159253426,0.9324726612619901
95,7,4,22,198.2630158935995,463.73698410640054,143.65673903772768,139.26543541967118,-4.391303618056497,0.07453321587782719,0.7577408096473045,0.6482851726871106
95,8,4,22,137.9191704665613,524.0808295334386,,75.78426774769078,,0.969143046902942,-0.24557356654600954,-0.021339588879702505
251,7,4,22,536.74363579895,125.25636420105002,34.92862270239288,34.92858425148104,-3.845091183762861e-05,0.5562588296029718,-0.8198663363658274,-0.1356292924954187
257,7,4,22,488.8581981005424,173.14180189945762,43.39701794673354,43.39696931472402,-4.86320095234305e-05,0.6366533161445228,-0.7266110137484134,-0.25828083502591753
338,7,4,22,438.8485014592482,223.1514985407518,52.59159466818367,52.59153427638092,-6.039180274797218e-05,0.7859268171842786,-0.60749321162713,-0.11519998202059172
346,8,4,22,555.8489327557312,106.1510672442688,31.505632690661088,25.09717749711575,-6.408455193545336,0.24229810783741015,-0.905589694810932,0.3481363692443726
346,9,4,22,555.8489327557312,106.1510672442688,31.505632690661088,25.09717749711575,-6.408455193545336,0.24229810783741015,-0.905589694810932,0.3481363692443726
545,7,4,22,594.3490423799843,67.65095762001567,24.19733639599346,24.197310198101434,-2.619789202640277e-05,0.34114404238144996,-0.9121393593726378,0.22720592296618827
568,6,4,22,528.238322193315,133.76167780668504,36.434442121660496,36.4344018983412,-4.0223319295762394e-05,0.5749617136546408,-0.8045373479276461,0.14879073768507384
728,10,4,22,227.19413376943245,434.8058662305675,118.50754401260559,106.83482658118857,-11.672717431417027,0.8353115643399388,0.2896136391706636,0.46730988699821974
739,7,4,22,594.0188092945266,67.98119070547341,24.26406355561892,24.2640372832806,-2.6272338320865174e-05,0.40780880670145636,-0.9116613914053258,-0.05065061300359243
894,7,4,22,467.88844830297984,194.11155169702016,47.17490071421481,47.174847351189804,-5.3363025003250186e-05,0.7098301373211017,-0.6797633436507572,-0.18456156907506097
1127,7,4,22,602.8656674504382,59.134332549561805,22.439218550101153,22.43919430718903,-2.424291212221874e-05,0.3558075746498179,-0.9242851386100999,-0.13819534133364553
1243,7,4,22,505.7822717301753,156.2177282698247,40.39568036392167,40.39563540238206,-4.496153960786842e-05,0.6272805407740978,-0.7615876768969132,-0.1627984446022698
1302,6,4,22,550.0153261860925,111.98467381390753,32.5589376397989,32.558901948842866,-3.5690956032397025e-05,0.49319746424585165,-0.8428386385426421,-0.2153585165277833
1357,7,4,22,503.75998410287656,158.24001589712344,40.75295056920267,40.75290517455305,-4.5394649617946925e-05,0.5974563693717905,-0.7575318853175124,0.26304244795160747
1379,6,4,22,565.8502146368559,96.14978536314413,29.67617281160988,29.676140433793908,-3.237781597320577e-05,0.49044154331387185,-0.8688377619731756,0.06773504234405517
1520,7,4,22,572.3484552535394,89.65154474646056,28.4671466874592,28.46711568581861,-3.100164058977839e-05,0.39571189976520355,-0.8790908281892469,0.2657280718662551
1569,6,4,22,443.32005906806023,218.67994093193977,51.73954557039208,52.561544015884635,0.8219984454925537,0.6739924193931683,-0.6079089008928596,0.41973918903978813
1569,7,4,22,443.32005906806023,218.67994093193977,51.73954557039208,52.561544015884635,0.8219984454925537,0.6739924193931683,-0.6079089008928596,0.41973918903978813
1653,7,4,22,554.5833240831682,107.41667591683176,31.73490438922066,31.73486965009527,-3.473912538964896e-05,0.5026538770844581,-0.8504911549823302,0.1549318403324009
1748,6,4,22,547.651294731992,114.34870526800796,32.983452045133156,32.98341586227006,-3.6182863098588314e-05,0.5421001997272417,-0.8388281773855862,0.04994659427488623
1825,7,4,22,481.2952064068504,180.7047935931496,44.75004079316971,44.7499904816523,-5.031151741263784e-05,0.6445224831446413,-0.7101854925787825,0.2832443024170084
1852,7,4,22,534.8178590040962,127.18214099590375,35.270217903481075,35.27017905180691,-3.8851674162287964e-05,0.5635229844627505,-0.8164382392379905,0.12597796431187674
1959,7,4,22,587.0958122734849,74.90418772651515,25.64177054040051,25.641742726728758,-2.781367175330729e-05,0.38482534502815874,-0.9015174918778017,0.19792843570926405
2051,7,4,22,403.55901300683223,258.44098699316777,59.62418280450366,37.2285915427999,-22.395591261703764,-0.18861243563716432,-0.7962281138912368,0.5748444483268673
2051,8,4,22,403.55901300683223,258.44098699316777,59.62418280450366,37.2285915427999,-22.395591261703764,-0.18861243563716432,-0.7962281138912368,0.5748444483268673
2086,29,4,22,29.625626050376667,632.3743739496233,,137.4224167946594,,0.27305530215751117,0.736361856381869,0.6190412089913871
2262,6,4,22,305.9498335627239,356.0501664372761,84.16322332697528,75.390226200958,-8.772997126017287,0.041358453887206534,-0.2522344312182072,0.9667819143943929
2262,7,4,22,149.0902481809351,512.9097518190649,,66.64901800482382,,0.20305218637021988,-0.3963625828339082,-0.8953583151674567
2262,12,4,22,22.158947673154678,639.8410523268453,,51.3667809657785,,-0.7801740180922025,-0.6243326029550779,-0.03920844782957323
2312,7,4,22,583.105064443028,78.89493555697197,26.419498347702387,26.419469660232476,-2.8687469910693153e-05,0.37120445439437094,-0.8955606171922607,0.24531293070687196
2511,7,4,22,610.936173995302,51.063826004697944,20.69383315643723,20.69381084260886,-2.2313828370812416e-05,0.28685501472253644,-0.9354822081398898,-0.20636675793898906
2853,7,4,22,558.201665370875,103.79833462912495,31.078199269484223,31.07816528612443,-3.398335979198919e-05,0.4105093437574387,-0.8564638668902709,-0.3129724003793329
2970,7,4,22,400.95682380691363,261.04317619308637,60.16843909890922,42.60803468828457,-17.56040441062465,0.6583345662289319,-0.7360021603705179,-0.157785990626844
3011,7,4,22,589.9569986004781,72.04300139952193,25.07706915723544,25.077041976326704,-2.718090873443657e-05,0.39549718203098483,-0.9057387000927368,0.15237908701613045
3048,7,4,22,583.6653140835386,78.33468591646135,26.310970316245907,26.310941750875447,-2.8565370460142958e-05,0.43677253833895363,-0.8964018009181527,0.0754556894053711
3096,7,4,22,599.7366791439244,62.26332085607555,23.093978755501592,23.093953785955094,-2.4969546497999318e-05,0.3383460826474311,-0.9198628941010714,-0.19842929323348132
3106,7,4,22,408.46908900773184,253.53091099226816,58.60798533335344,10.215416869871683,-48.39256846348176,-0.0008982045881140155,-0.9841479232400073,-0.17734728193828864
3106,8,4,22,408.46908900773184,253.53091099226816,58.60798533335344,10.215416869871683,-48.39256846348176,-0.0008982045881140155,-0.9841479232400073,-0.17734728193828864
3130,7,4,22,621.5169330362442,40.483066963755846,18.24592812033635,18.245908494243263,-1.9626093088476182e-05,0.30356829812961206,-0.9497214868851149,0.07665106469852415
3189,7,4,22,443.2964843977887,218.70351560221133,51.74401839268235,51.74395912150126,-5.9271181086728575e-05,0.7851730133177274,-0.6191767443610687,0.011112983397249655
3321,7,4,22,623.8144034263981,38.185596573601856,17.683419157940172,17.68340014677462,-1.9011165552029752e-05,0.2677436377366318,-0.9527495263647761,0.1434631815597655
3447,7,4,22,571.5265995318027,90.47340046819727,28.6210911352157,28.621059958763478,-3.1176452221615136e-05,0.3799745015829776,-0.8778069654523089,0.2916750067286822
3498,7,4,22,611.3390991552723,50.660900844727735,20.604264745311994,20.604242530181896,-2.2215130098146574e-05,0.29003144781576523,-0.9360334806638498,-0.19930650354218085
3610,7,4,22,373.5748094315017,288.4251905684983,66.16913808490683,37.97106960112233,-28.198068483784503,-0.583145739078196,-0.7883215195283855,0.19618926791086694
3610,8,4,22,373.5748094315017,288.4251905684983,66.16913808490683,37.97106960112233,-28.198068483784503,-0.583145739078196,-0.7883215195283855,0.19618926791086694
3783,7,4,22,332.81926890667705,329.18073109332295,76.31784809068593,92.94766411890431,16.629816028218386,0.9950227500452395,0.0514237529229965,0.08535411254136231
3783,8,4,22,321.0733163977007,340.9266836022993,79.60889079357925,111.62607132137124,32.01718052779199,0.9158233417249653,0.36854759112417346,0.15950009350557384
3783,9,4,22,321.0733163977007,340.9266836022993,79.60889079357925,111.62607132137124,32.01718052779199,0.9158233417249653,0.36854759112417346,0.15950009350557384
3846,7,4,22,614.2175862054102,47.78241379458984,19.956739788907356,19.95671828647972,-2.1502427635766708e-05,0.2837929537036433,-0.9399507175389505,0.18961594876532348
3924,7,4,22,475.4226513502537,186.57734864974628,45.80758196342659,45.80753032779514,-5.1635631450608344e-05,0.7073884697782017,-0.6970708739794336,0.11702029513893217
4205,7,4,22,604.4289792362126,57.571020763787374,22.107818902528113,22.107795026763533,-2.3875764579628367e-05,0.328624315459787,-0.9264774374068018,0.18342741688393316
4236,7,4,22,581.585012751406,80.414987248594,26.712931853400786,26.712902835530922,-2.9017869863423584e-05,0.44626478580066303,-0.8932701804017784,-0.05400116442506225
4260,6,4,22,526.6249752984664,135.37502470153356,36.719390368191,36.71934980776888,-4.0560422121416195e-05,0.5380517659117839,-0.8015737698421449,0.2607293399298647
4358,7,4,22,314.04965228799045,347.95034771200955,81.67591871070802,64.16843844713506,-17.50748026357296,-0.07900566455085833,-0.43572697662346327,0.8966047662216912
4358,8,4,22,314.04965228799045,347.95034771200955,81.67591871070802,64.16843844713506,-17.50748026357296,-0.07900566455085833,-0.43572697662346327,0.8966047662216912
4574,7,4,22,587.9303437410969,74.06965625890314,25.477704331503613,25.477676701817327,-2.7629686286445576e-05,0.41600564414597335,-0.9027529494433273,0.1094368142357367
4764,7,4,22,556.3630750014803,105.6369249985197,31.412364348345182,31.412329980717626,-3.4367627556264324e-05,0.5165259191815951,-0.853438656885168,0.06959478247432604
4775,7,4,22,627.3285565004246,34.67144349957539,16.796303856793756,16.796285813516807,-1.8043276948986886e-05,0.24951585815923416,-0.9573382319441697,-0.1457578340435676
4849,7,4,22,477.41825291848374,184.58174708151626,45.447460186559226,45.44740900297151,-5.118358771483145e-05,0.7085888776670568,-0.7015636515857633,0.07556616451951656
4888,7,4,22,570.3381056710293,91.66189432897067,28.843158141114717,28.843126712282913,-3.142883180373701e-05,0.4767396893128715,-0.8759438143411591,0.07376789783725526
4942,7,4,22,440.2006062881954,221.7993937118046,52.333165631557016,52.33310558229724,-6.0049259772654295e-05,0.7872473923817073,-0.6110697680562948,0.08267576280765887
5028,7,4,22,616.6569721108567,45.343027889143286,19.39672418503314,19.396703297846795,-2.0887186344964448e-05,0.2695478283451376,-0.9432417683754373,0.19400756332266605
5068,7,4,22,532.3057153014629,129.6942846985371,35.715203044493165,35.71516366961704,-3.937487612404311e-05,0.5197245809270222,-0.8119290607929487,0.2658148984163818
5199,7,4,22,427.58864011801535,234.41135988198465,54.77214735714064,61.08152953220464,6.309382175064002,0.3304385743332736,-0.48356458205563024,0.8105403404975952
5199,8,4,22,427.58864011801535,234.41135988198465,54.77214735714064,61.08152953220464,6.309382175064002,0.3304385743332736,-0.48356458205563024,0.8105403404975952
5248,7,4,22,582.8428175644669,79.15718243553306,26.470228646311508,26.47019990174885,-2.874456265899994e-05,0.36857239482945503,-0.8951663124148924,-0.25066244809943816
5381,7,4,22,587.549635806728,74.45036419327198,25.55261434609594,25.552586632419647,-2.771367629250676e-05,0.42145158779950204,-0.9021897769103837,0.09182682385703396
5388,7,4,22,570.305598980089,91.69440101991097,28.849222920120592,28.849191484392644,-3.143572794783722e-05,0.4491416019924607,-0.875892745887017,-0.17630575447825692
5631,6,4,22,456.99639224114,205.00360775886003,49.176383550603475,49.176327626169765,-5.592443370971978e-05,0.733840602858006,-0.6537333089432085,0.18469090496058996
5643,7,4,22,450.279284472956,211.72071552704398,50.42764893352201,50.42759138696978,-5.7546552227449865e-05,0.7516713636910004,-0.6370528670742523,0.17074485514763554
5665,7,4,22,517.4050803952607,144.5949196047393,38.34562748543456,38.34558499029633,-4.249513823140205e-05,0.5578456547742088,-0.7842830209450036,-0.27149285166816706
5865,7,4,22,452.40113250535484,209.59886749464516,50.030871636419405,50.03081460602704,-5.703039236237828e-05,0.7662362513319207,-0.6423755255311803,0.015352242290483212
6106,7,4,22,499.0222099547114,162.9777900452886,41.59113518725257,32.831038112442606,-8.760097074809963,0.09745920675600925,-0.8402730274896376,-0.5333319250634526
6106,8,4,22,499.0222099547114,162.9777900452886,41.59113518725257,32.831038112442606,-8.760097074809963,0.09745920675600925,-0.8402730274896376,-0.5333319250634526
6131,7,4,22,498.6531275921745,163.34687240782551,41.65651223458676,41.65646574006226,-4.649452449712044e-05,0.565905050971596,-0.747143419494417,-0.3486089270099445
6317,6,4,22,508.8039642019623,153.1960357980377,39.86228246111985,39.86223814436232,-4.431675752414321e-05,0.6408347536302437,-0.7675877445501726,-0.011826789760701934
6559,7,4,22,467.7611124875951,194.23888751240492,47.19812199531692,47.19806860280139,-5.3392515525274575e-05,0.6995757395347988,-0.6794660373517856,0.2211779571743105
6687,7,4,22,345.0612095812658,316.9387904187342,73.0817681634351,54.40160125295807,-18.680166910477027,0.39470387594998846,-0.5821002460921862,0.7108925051014903
6687,8,4,22,345.0612095812658,316.9387904187342,73.0817681634351,54.40160125295807,-18.680166910477027,0.39470387594998846,-0.5821002460921862,0.7108925051014903
6837,7,4,22,542.9521719636673,119.0478280363327,33.823906346626174,33.8238691866819,-3.71599442772208e-05,0.5365018042275222,-0.830752646700322,0.14837740414572384
7038,6,4,22,465.7734810110467,196.22651898895327,47.561106673238385,47.56105281905907,-5.385417931336178e-05,0.7367770338912284,-0.6748042016065813,-0.042413344887523574
7225,8,4,22,511.83548200832007,150.16451799167993,39.32754258570217,46.39325891630648,7.06571633060431,0.6825944661206818,-0.6897047407551092,0.24160332241372207
7481,6,4,22,490.75334485047006,171.24665514952994,43.059334183880026,22.341040681590023,-20.718293502290003,0.0747265191684871,-0.9249376784986396,0.37270127210208037
7481,7,4,22,490.75334485047006,171.24665514952994,43.059334183880026,22.341040681590023,-20.718293502290003,0.0747265191684871,-0.9249376784986396,0.37270127210208037
7651,7,4,22,184.89949182967592,477.1005081703241,172.63976096191078,157.68720130910688,-14.952559652803899,-0.16849185913198567,0.9251249326534965,0.34022691308759
7651,8,4,22,184.89949182967592,477.1005081703241,172.63976096191078,157.68720130910688,-14.952559652803899,-0.16849185913198567,0.9251249326534965,0.34022691308759
7662,7,4,22,325.86253712483455,336.13746287516545,78.24323026391171,96.20789327625864,17.964663012346932,0.5418906338277723,0.10813631255561434,-0.8334633038572301
7662,8,4,22,325.86253712483455,336.13746287516545,78.24323026391171,96.20789327625864,17.964663012346932,0.5418906338277723,0.10813631255561434,-0.8334633038572301
7764,7,4,22,516.0683551942494,145.93164480575058,38.58126641368339,51.814554789425834,13.233288375742447,0.7859468931711848,-0.618208744967843,0.010267850790040514
7764,8,4,22,516.0683551942494,145.93164480575058,38.58126641368339,51.814554789425834,13.233288375742447,0.7859468931711848,-0.618208744967843,0.010267850790040514
7827,7,4,22,459.15373468690547,202.84626531309453,48.77739071514331,13.264475909277506,-35.512914805865805,0.029882565574095576,-0.9733213193929808,-0.22749206907014763
7827,8,4,22,459.15373468690547,202.84626531309453,48.77739071514331,13.264475909277506,-35.512914805865805,0.029882565574095576,-0.9733213193929808,-0.22749206907014763
