event_number,track_id,record_index,volume,pdg,Eprime_k_keV,Et_662_minus_k_keV,stored_et_keV,px,py,pz,theta_direction_deg,theta_energy_deg,delta_theta_deg,q_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
82,1,7,4,22,195.46274048723154,466.53725951276846,,-0.1581141006732662,0.5386374446841208,-0.8275685073469417,122.59093188983675,147.3950309708004,-24.804099080963653,784.7579910593354,-88.59038512098537,-23.767468066305387,23.767468066305387
90,1,7,4,22,374.4290454908116,287.5709545091884,,0.27702417357388437,-0.2318455159253426,0.9324726612619901,76.59425063129142,65.97352223246165,10.620728398829769,680.812069240574,-124.56268460724694,-33.418295051013565,33.418295051013565
95,1,7,4,22,198.2630158935995,463.73698410640054,,0.07453321587782719,0.7577408096473045,0.6482851726871106,139.26543541967118,143.65673903772768,-4.391303618056497,822.4714965212654,-123.11682878359318,-33.03039367695088,33.03039367695088
251,1,7,4,22,536.74363579895,125.25636420105002,,0.5562588296029718,-0.8198663363658274,-0.1356292924954187,34.92858425148104,34.92862270239288,-3.845091183762861e-05,379.0789995864518,-20.693422388351067,-5.551734029895279,5.551734029895279
257,1,7,4,22,488.8581981005424,173.14180189945762,,0.6366533161445228,-0.7266110137484134,-0.25828083502591753,43.39696931472402,43.39701794673354,-4.86320095234305e-05,454.89408399880153,-32.95020442158794,-8.840044326467368,8.840044326467368
338,1,7,4,22,438.8485014592482,223.1514985407518,,0.7859268171842786,-0.60749321162713,-0.11519998202059172,52.59153427638092,52.59159466818367,-6.039180274797218e-05,527.1213677506962,-47.23400328391513,-12.672172755102814,12.672172755102814
346,1,8,4,22,555.8489327557312,106.1510672442688,,0.24229810783741015,-0.905589694810932,0.3481363692443726,25.09717749711575,31.505632690661088,-6.408455193545336,284.1632373986145,48.80582986157346,13.093870188060636,13.093870188060636
545,1,7,4,22,594.3490423799843,67.65095762001567,,0.34114404238144996,-0.9121393593726378,0.22720592296618827,24.197310198101434,24.19733639599346,-2.619789202640277e-05,271.50650687501695,-8.427983256261935,-2.2611011638904364,2.2611011638904364
568,1,6,4,22,528.238322193315,133.76167780668504,,0.5749617136546408,-0.8045373479276461,0.14879073768507384,36.4344018983412,36.434442121660496,-4.0223319295762394e-05,393.1873975188344,-22.75237579091626,-6.104120264345535,6.104120264345535
728,1,10,4,22,227.19413376943245,434.8058662305675,,0.8353115643399388,0.2896136391706636,0.46730988699821974,106.83482658118857,118.50754401260559,-11.672717431417027,759.5909522494939,-87.28830896349133,-23.41814061445072,23.41814061445072
739,1,7,4,22,594.0188092945266,67.98119070547341,,0.40780880670145636,-0.9116613914053258,-0.05065061300359243,24.2640372832806,24.26406355561892,-2.6272338320865174e-05,272.2096085587944,-8.488484508694487,-2.2773327400733185,2.2773327400733185
894,1,7,4,22,467.88844830297984,194.11155169702016,,0.7098301373211017,-0.6797633436507572,-0.18456156907506097,47.174847351189804,47.17490071421481,-5.3363025003250186e-05,485.860964858669,-38.775363801867144,-10.402846986855954,10.402846986855954
1127,1,7,4,22,602.8656674504382,59.134332549561805,,0.3558075746498179,-0.9242851386100999,-0.13819534133364553,22.43919430718903,22.439218550101153,-2.424291212221874e-05,252.8478361364586,-6.9147128697397795,-1.8551134764203756,1.8551134764203756
1243,1,7,4,22,505.7822717301753,156.2177282698247,,0.6272805407740978,-0.7615876768969132,-0.1627984446022698,40.39563540238206,40.39568036392167,-4.496153960786842e-05,429.0199952949723,-28.44114299889275,-7.630330956031515,7.630330956031515
1302,1,6,4,22,550.0153261860925,111.98467381390753,,0.49319746424585165,-0.8428386385426421,-0.2153585165277833,32.558901948842866,32.5589376397989,-3.5690956032397025e-05,356.3546824168748,-17.595283100487155,-4.7205498501594025,4.7205498501594025
1357,1,7,4,22,503.75998410287656,158.24001589712344,,0.5974563693717905,-0.7575318853175124,0.26304244795160747,40.75290517455305,40.75295056920267,-4.5394649617946925e-05,432.1583667068675,-28.970349294280254,-7.772309046644091,7.772309046644091
1379,1,6,4,22,565.8502146368559,96.14978536314413,,0.49044154331387185,-0.8688377619731756,0.06773504234405517,29.676140433793908,29.67617281160988,-3.237781597320577e-05,327.8866454431773,-14.097206683046576,-3.7820685529907268,3.7820685529907268
1520,1,7,4,22,572.3484552535394,89.65154474646056,,0.39571189976520355,-0.8790908281892469,0.2657280718662551,28.46711568581861,28.4671466874592,-3.100164058977839e-05,315.6914360034835,-12.729524970341824,-3.4151401172785776,3.4151401172785776
1569,1,6,4,22,443.32005906806023,218.67994093193977,,0.6739924193931683,-0.6079089008928596,0.41973918903978813,52.561544015884635,51.73954557039208,0.8219984454925537,527.2201105120099,-51.65787894827724,-13.859032067639262,13.859032067639262
1653,1,7,4,22,554.5833240831682,107.41667591683176,,0.5026538770844581,-0.8504911549823302,0.1549318403324009,31.73486965009527,31.73490438922066,-3.473912538964896e-05,348.3072650457786,-16.56311718785381,-4.443635257970427,4.443635257970427
1748,1,6,4,22,547.651294731992,114.34870526800796,,0.5421001997272417,-0.8388281773855862,0.04994659427488623,32.98341586227006,32.983452045133156,-3.6182863098588314e-05,360.47157155619954,-18.13648862772196,-4.865747154226819,4.865747154226819
1825,1,7,4,22,481.2952064068504,180.7047935931496,,0.6445224831446413,-0.7101854925787825,0.2832443024170084,44.7499904816523,44.75004079316971,-5.031151741263784e-05,466.1910847960219,-35.02193580705243,-9.395858701568509,9.395858701568509
1852,1,7,4,22,534.8178590040962,127.18214099590375,,0.5635229844627505,-0.8164382392379905,0.12597796431187674,35.27017905180691,35.270217903481075,-3.8851674162287964e-05,382.3024559547692,-21.154742114903254,-5.675499174997787,5.675499174997787
1959,1,7,4,22,587.0958122734849,74.90418772651515,,0.38482534502815874,-0.9015174918778017,0.19792843570926405,25.641742726728758,25.64177054040051,-2.781367175330729e-05,286.64011216914173,-9.78661710216088,-2.6256021930044375,2.6256021930044375
2051,1,7,4,22,403.55901300683223,258.44098699316777,,-0.18861243563716432,-0.7962281138912368,0.5748444483268673,37.2285915427999,59.62418280450366,-22.395591261703764,419.1294965941338,105.52484913442323,28.310730093101114,28.310730093101114
2086,3,29,4,22,29.625626050376667,632.3743739496233,,0.27305530215751117,0.736361856381869,0.6190412089913871,137.4224167946594,,,684.1088929082596,130.30208689617075,34.95809037344482,34.95809037344482
2262,1,6,4,22,305.9498335627239,356.0501664372761,,0.041358453887206534,-0.2522344312182072,0.9667819143943929,75.390226200958,84.16322332697528,-8.772997126017287,655.495833516934,-50.184542978841236,-13.463758183721874,13.463758183721874
2262,6,12,4,22,22.158947673154678,639.8410523268453,,-0.7801740180922025,-0.6243326029550779,-0.03920844782957323,51.3667809657785,,,648.396537741442,180.05917037766346,48.307167602354326,48.307167602354326
2312,1,7,4,22,583.105064443028,78.89493555697197,,0.37120445439437094,-0.8955606171922607,0.24531293070687196,26.419469660232476,26.419498347702387,-2.8687469910693153e-05,294.71149113124955,-10.559884926250241,-2.8330583214617886,2.8330583214617886
2511,1,7,4,22,610.936173995302,51.063826004697944,,0.28685501472253644,-0.9354822081398898,-0.20636675793898906,20.69381084260886,20.69383315643723,-2.2313828370812416e-05,234.08253498263974,-5.569409540294889,-1.4941888244007557,1.4941888244007557
2853,1,7,4,22,558.201665370875,103.79833462912495,,0.4105093437574387,-0.8564638668902709,-0.3129724003793329,31.07816528612443,31.078199269484223,-3.398335979198919e-05,341.8417265085935,-15.758561866407385,-4.227785164487491,4.227785164487491
2970,1,7,4,22,400.95682380691363,261.04317619308637,,0.6583345662289319,-0.7360021603705179,-0.157785990626844,42.60803468828457,60.16843909890922,-17.56040441062465,456.38934840121925,64.08441491914597,17.192884792842687,17.192884792842687
3011,1,7,4,22,589.9569986004781,72.04300139952193,,0.39549718203098483,-0.9057387000927368,0.15237908701613045,25.077041976326704,25.07706915723544,-2.718090873443657e-05,280.7454085594629,-9.243315898804893,-2.479842650549419,2.479842650549419
3048,1,7,4,22,583.6653140835386,78.33468591646135,,0.43677253833895363,-0.8964018009181527,0.0754556894053711,26.310941750875447,26.310970316245907,-2.8565370460142958e-05,293.58848964943917,-10.450260252611136,-2.803647670109067,2.803647670109067
3096,1,7,4,22,599.7366791439244,62.26332085607555,,0.3383460826474311,-0.9198628941010714,-0.19842929323348132,23.093953785955094,23.093978755501592,-2.4969546497999318e-05,259.82628678579925,-7.459956107487791,-2.0013940374975965,2.0013940374975965
