event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
77,7,7,5,22,1,662.0,656.26432004,5.73567996,-0.11512747,-0.99325366,0.01388628,6.65910928,0.99325366,76.77727816,-0.2141618,-0.05745639,0.05745639
520,7,7,5,22,1,662.0,543.05753915,118.94246085,-0.54651549,-0.83093525,0.10424694,33.80506861,0.83093525,368.38328503,-19.20153584,-5.1514833,5.1514833
546,7,7,5,22,1,662.0,594.33531451,67.66468549,-0.28014506,-0.9121195,0.29926036,24.20008602,0.9121195,271.53576325,-8.43049567,-2.26177521,2.26177521
605,7,7,5,22,1,662.0,655.79423932,6.20576068,-0.08989073,-0.99269552,0.08046903,6.9294226,0.99269552,79.87981816,-0.24097412,-0.06464973,0.06464973
666,7,7,5,22,1,662.0,638.41893577,23.58106423,-0.19838698,-0.97148853,0.12981773,13.71465048,0.97148853,157.02185461,-1.77050254,-0.4749992,0.4749992
728,7,7,5,22,1,662.0,227.19413377,434.80586623,0.83531156,0.28961364,0.46730989,106.83482658,-0.28961364,759.59095225,-87.28830896,-23.41814061,23.41814061
728,8,8,5,22,1,662.0,227.19413377,434.80586623,0.83531156,0.28961364,0.46730989,106.83482658,-0.28961364,759.59095225,-87.28830896,-23.41814061,23.41814061
735,7,7,5,22,1,662.0,616.51031466,45.48968534,-0.18421281,-0.94304464,-0.27700621,19.43068298,0.94304464,220.36258921,-4.69501723,-1.25960252,1.25960252
749,7,7,5,22,1,662.0,575.9961547,86.0038453,-0.38265821,-0.88474487,0.26608122,27.7798589,0.88474487,308.69467734,-11.98024207,-3.21411878,3.21411878
825,7,7,5,22,1,662.0,518.20577427,143.79422573,-0.61638524,-0.78580902,0.05072897,38.20443548,0.78580902,409.4315139,-25.25021301,-6.77425243,6.77425243
891,7,7,5,22,1,662.0,272.39557927,389.60442073,0.75441995,-0.21090603,0.62158602,77.82454693,0.21090603,660.59043603,-28.91656018,-7.75787824,7.75787824
891,8,8,5,22,1,662.0,205.88506731,456.11493269,0.68415359,0.72759782,0.05035164,136.68538676,-0.72759782,823.99628679,-129.13918597,-34.64610154,34.64610154
891,9,9,5,22,1,662.0,205.88506731,456.11493269,0.68415359,0.72759782,0.05035164,136.68538676,-0.72759782,823.99628679,-129.13918597,-34.64610154,34.64610154
912,7,7,5,22,1,662.0,605.6252816,56.3747184,-0.34730075,-0.92814742,-0.13388263,21.8521513,0.92814742,246.56226026,-6.44459127,-1.72898692,1.72898692
1306,7,7,5,22,1,662.0,627.37674226,34.62325774,-0.2179669,-0.95740079,-0.18940472,16.78387668,0.95740079,191.26856488,-3.13353765,-0.84068103,0.84068103
1560,7,7,5,22,1,662.0,610.62451183,51.37548817,-0.30501081,-0.9350553,0.18066541,20.76291904,0.9350553,234.82989098,-5.61966106,-1.50767055,1.50767055
1674,7,7,5,22,1,662.0,622.59345394,39.40654606,-0.23494183,-0.95114311,-0.20032254,17.9839372,0.95114311,204.51474285,-3.7962788,-1.01848451,1.01848451
1685,7,7,5,22,1,662.0,181.77876675,480.22123325,0.27837017,0.89304607,-0.35352337,153.2585459,-0.89304607,828.38485028,-117.96169361,-31.64734843,31.64734843
1685,8,8,5,22,1,662.0,181.77876675,480.22123325,0.27837017,0.89304607,-0.35352337,153.2585459,-0.89304607,828.38485028,-117.96169361,-31.64734843,31.64734843
1687,7,7,5,22,1,662.0,633.0481545,28.9518455,-0.24946406,-0.96469782,-0.08441441,15.26948374,0.96469782,174.43317444,-2.40248521,-0.64455065,0.64455065
2076,7,7,5,22,1,662.0,632.41948961,29.58051039,-0.15467422,-0.96389541,-0.21675221,15.4430912,0.96389541,176.36956578,-2.48042259,-0.66546008,0.66546008
2234,7,7,5,22,1,662.0,187.90935586,474.09064414,0.5490073,0.83530394,0.02929681,146.64750029,-0.83530394,825.45190917,-119.23784648,-31.98972106,31.98972106
2234,8,8,5,22,1,662.0,187.90935586,474.09064414,0.5490073,0.83530394,0.02929681,146.64750029,-0.83530394,825.45190917,-119.23784648,-31.98972106,31.98972106
2281,7,7,5,22,1,662.0,636.53865148,25.46134852,-0.24619433,-0.96912417,0.01366352,14.27482348,0.96912417,163.30867383,-1.98466116,-0.53245474,0.53245474
2453,7,7,5,22,1,662.0,214.36922888,447.63077112,0.19521983,0.38302504,-0.90287377,112.52118695,-0.38302504,770.00661967,-87.94180647,-23.59346417,23.59346417
