Orbital,Index,r,Vnuc_r,Veff_r,P,Q,P_ref1,Q_ref1,P_ref2,Q_ref2
Cs_1s12,0,1.81818182E-08,-1.326898E-02,6.875481E+06,2.303170E-05,-7.431533E-10,0,0,0,0
Cs_1s12,1,1.99385036E-08,-1.455100E-02,6.269736E+06,2.525655E-05,-8.936121E-10,0,0,0,0
Cs_1s12,2,2.18649159E-08,-1.595688E-02,5.717359E+06,2.769635E-05,-1.074553E-09,0,0,0,0
Cs_1s12,3,2.39774121E-08,-1.749857E-02,5.213658E+06,3.037184E-05,-1.292144E-09,0,0,0,0
Cs_1s12,4,2.62940087E-08,-1.918920E-02,4.754334E+06,3.330582E-05,-1.553814E-09,0,0,0,0
Cs_1s12,5,2.88344252E-08,-2.104318E-02,4.335478E+06,3.652325E-05,-1.868491E-09,0,0,0,0
Cs_1s12,6,3.16202310E-08,-2.307625E-02,3.953530E+06,4.005149E-05,-2.246904E-09,0,0,0,0
Cs_1s12,7,3.46751844E-08,-2.530573E-02,3.605232E+06,4.392058E-05,-2.701968E-09,0,0,0,0
Cs_1s12,8,3.80252225E-08,-2.775057E-02,3.287624E+06,4.816342E-05,-3.249199E-09,0,0,0,0
Cs_1s12,9,4.16989144E-08,-3.043161E-02,2.997998E+06,5.281615E-05,-3.907275E-09,0,0,0,0
Cs_1s12,10,4.57274494E-08,-3.337161E-02,2.733891E+06,5.791831E-05,-4.698630E-09,0,0,0,0
Cs_1s12,11,5.01451814E-08,-3.659564E-02,2.493052E+06,6.351337E-05,-5.650275E-09,0,0,0,0
Cs_1s12,12,5.49896152E-08,-4.013108E-02,2.273434E+06,6.964886E-05,-6.794652E-09,0,0,0,0
Cs_1s12,13,6.03020609E-08,-4.400807E-02,2.073162E+06,7.637705E-05,-8.170817E-09,0,0,0,0
Cs_1s12,14,6.61276171E-08,-4.825952E-02,1.890537E+06,8.375512E-05,-9.825684E-09,0,0,0,0
Cs_1s12,15,7.25158324E-08,-5.292160E-02,1.724003E+06,9.184583E-05,-1.181569E-08,0,0,0,0
Cs_1s12,16,7.95210387E-08,-5.803395E-02,1.572142E+06,1.007180E-04,-1.420870E-08,0,0,0,0
Cs_1s12,17,8.72029651E-08,-6.364017E-02,1.433658E+06,1.104472E-04,-1.708638E-08,0,0,0,0
Cs_1s12,18,9.56268180E-08,-6.978784E-02,1.307376E+06,1.211160E-04,-2.054681E-08,0,0,0,0
Cs_1s12,19,1.04864419E-07,-7.652938E-02,1.192217E+06,1.328154E-04,-2.470808E-08,0,0,0,0
Cs_1s12,20,1.14993978E-07,-8.392186E-02,1.087207E+06,1.456445E-04,-2.971192E-08,0,0,0,0
Cs_1s12,21,1.26102019E-07,-9.202843E-02,9.914459E+05,1.597128E-04,-3.572916E-08,0,0,0,0
Cs_1s12,22,1.38282820E-07,-1.009179E-01,9.041216E+05,1.751398E-04,-4.296486E-08,0,0,0,0
Cs_1s12,23,1.51639959E-07,-1.106658E-01,8.244905E+05,1.920566E-04,-5.166575E-08,0,0,0,0
Cs_1s12,24,1.66286724E-07,-1.213549E-01,7.518761E+05,2.106069E-04,-6.212825E-08,0,0,0,0
Cs_1s12,25,1.82348207E-07,-1.330765E-01,6.856574E+05,2.309487E-04,-7.470948E-08,0,0,0,0
Cs_1s12,26,1.99960707E-07,-1.459299E-01,6.252721E+05,2.532549E-04,-8.983817E-08,0,0,0,0
Cs_1s12,27,2.19273585E-07,-1.600243E-01,5.702074E+05,2.777148E-04,-1.080297E-07,0,0,0,0
Cs_1s12,28,2.40451766E-07,-1.754799E-01,5.199924E+05,3.045369E-04,-1.299049E-07,0,0,0,0
Cs_1s12,29,2.63674489E-07,-1.924276E-01,4.742016E+05,3.339485E-04,-1.562085E-07,0,0,0,0
Cs_1s12,30,2.89139551E-07,-2.110118E-01,4.324444E+05,3.662000E-04,-1.878376E-07,0,0,0,0
Cs_1s12,31,3.17062864E-07,-2.313899E-01,3.943661E+05,4.015650E-04,-2.258695E-07,0,0,0,0
Cs_1s12,32,3.47682235E-07,-2.537355E-01,3.596418E+05,4.403444E-04,-2.716008E-07,0,0,0,0
Cs_1s12,33,3.81257913E-07,-2.782385E-01,3.279761E+05,4.828678E-04,-3.265900E-07,0,0,0,0
Cs_1s12,34,4.18074541E-07,-3.051067E-01,2.991001E+05,5.294960E-04,-3.927099E-07,0,0,0,0
Cs_1s12,35,4.58444816E-07,-3.345682E-01,2.727678E+05,5.806250E-04,-4.722128E-07,0,0,0,0
Cs_1s12,36,5.02712467E-07,-3.668738E-01,2.487548E+05,6.366897E-04,-5.678087E-07,0,0,0,0
Cs_1s12,37,5.51252705E-07,-4.022974E-01,2.268571E+05,6.981656E-04,-6.827526E-07,0,0,0,0
Cs_1s12,38,6.04477724E-07,-4.411395E-01,2.068884E+05,7.655748E-04,-8.209592E-07,0,0,0,0
Cs_1s12,39,6.62839465E-07,-4.837301E-01,1.886787E+05,8.394895E-04,-9.871353E-07,0,0,0,0
Cs_1s12,40,7.26833446E-07,-5.304306E-01,1.720731E+05,9.205373E-04,-1.186940E-06,0,0,0,0
Cs_1s12,41,7.97001582E-07,-5.816364E-01,1.569305E+05,1.009405E-03,-1.427171E-06,0,0,0,0
Cs_1s12,42,8.73942194E-07,-6.377838E-01,1.431215E+05,1.106849E-03,-1.716018E-06,0,0,0,0
Cs_1s12,43,9.58305467E-07,-6.993473E-01,1.305291E+05,1.213694E-03,-2.063301E-06,0,0,0,0
Cs_1s12,44,1.05080883E-06,-7.668499E-01,1.190460E+05,1.330848E-03,-2.480849E-06,0,0,0,0
Cs_1s12,45,1.15223484E-06,-8.408623E-01,1.085746E+05,1.459302E-03,-2.982859E-06,0,0,0,0
Cs_1s12,46,1.26344519E-06,-9.220129E-01,9.902587E+04,1.600147E-03,-3.586419E-06,0,0,0,0
