event_number,record_index,vlm,pro,pdg,theta_deg,et_keV,Eprime_k_keV,Eprime_from_E0_minus_et_keV,difference_k_minus_E0_minus_et_keV,px,py,pz,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg
68,2,2,2013,22,97.65425625316492,97.33205551593385,268.22729064799245,564.6679444840662,-296.44065383607375,0.9910729846592699,0.13319496262981767,-0.0057828201258628715,96.0,98.0,97.0
82,2,2,2013,22,20.431891604785054,49.888798720291945,612.1112012797081,612.1112012797081,0.0,0.34295648145973756,-0.9370878243984315,-0.06517101494507385,20.0,22.0,21.0
95,2,2,2013,22,150.6069421996375,179.96721922730265,193.32769016586516,482.0327807726974,-288.7050906068322,0.479948988059319,0.871273284705711,0.10262471543910266,150.0,152.0,151.0
169,2,2,2013,22,28.102544729003302,87.71211328584593,574.2878867141541,574.2878867141541,0.0,0.14392969051885376,-0.8821059456731954,0.44852351643491845,28.0,30.0,29.0
171,2,2,2013,22,42.92480494512507,170.4911602014873,491.5088397985127,491.50883979851267,5.684341886080802e-14,-0.6798891126983484,-0.7322481270482533,0.039540800049793,42.0,44.0,43.0
227,2,2,2013,22,142.016116397053,138.28965988504967,199.60227696620822,523.7103401149503,-324.1080631487421,0.46765381933631034,0.7881838982711338,0.40008255118947733,142.0,144.0,143.0
317,2,2,2013,22,107.00805702799852,414.47192138903733,247.5280786109627,247.52807861096267,2.842170943040401e-14,0.3684771211270203,0.2925061790000132,0.8824198243765581,106.0,108.0,107.0
388,2,2,2013,22,39.712917546803496,152.3497030829507,509.65029691704933,509.65029691704933,0.0,0.21654596211607163,-0.769255522911471,0.6011270970114592,38.0,40.0,39.0
451,2,2,2013,22,36.799413906271454,135.8285024926932,526.1714975073069,526.1714975073069,0.0,-0.3109735942572701,-0.8007374984781432,0.5119715638643226,36.0,38.0,37.0
491,2,2,2013,22,39.740444840890966,152.50573699716264,509.4942630028374,509.49426300283733,5.684341886080802e-14,-0.42961727918739084,-0.7689484599761026,-0.47344192814325564,38.0,40.0,39.0
811,4,2,2013,22,148.53806827098867,418.34686387822376,194.67449749743542,243.65313612177624,-48.97863862434082,0.4717426112057422,0.8529871328858449,-0.223320083969118,148.0,150.0,149.0
864,2,2,2013,22,65.72495866089083,286.4820857312658,375.5179142687342,375.5179142687342,0.0,0.815412119491513,-0.4111173024547905,-0.40753605853795893,64.0,66.0,65.0
913,2,2,2013,22,122.5862526114793,387.5329222402894,221.16662034625764,274.4670777597106,-53.30045741345296,0.7088045465327436,0.5385686338367501,0.4555655182975641,122.0,124.0,123.0
916,4,2,2013,22,91.65866281229597,120.3454424458775,283.75479866275924,541.6545575541224,-257.8997588913632,-0.9828659081257619,0.028945083945533634,0.1820351305641506,90.0,92.0,91.0
951,2,2,2013,22,60.11393485183341,105.63800687119883,401.21620941396384,556.3619931288011,-155.1457837148373,0.7301648146399655,-0.4982768878823176,-0.4675248511727446,60.0,62.0,61.0
1063,2,2,2013,22,96.07529056905727,243.57822658931252,272.13551845396677,418.4217734106875,-146.2862549567207,-0.650238451228296,0.10583524236492425,0.7523223099295836,96.0,98.0,97.0
1073,2,2,2013,22,49.3156635566338,205.7552735322501,456.24472646774996,456.2447264677499,5.684341886080802e-14,0.7087921876519747,-0.6518911202181679,-0.26953961138250176,48.0,50.0,49.0
1102,4,2,2013,22,108.09856878250444,199.10259014163148,245.3712225248009,462.8974098583685,-217.5261873335676,-0.010007978737210264,0.31065268616638186,-0.9504708038331356,108.0,110.0,109.0
1123,2,2,2013,22,54.96901432713176,235.4147676729715,426.58523232702856,426.5852323270285,5.684341886080802e-14,-0.11857302546548924,-0.5740193515275094,0.8102112204258207,54.0,56.0,55.0
1263,2,2,2013,22,65.18500204181646,284.1014785348007,377.8985214651993,377.8985214651993,0.0,0.4031272513779472,-0.4196896913111786,0.8132336578152609,64.0,66.0,65.0
1279,2,2,2013,22,62.44857391266018,84.90665360246763,390.2670298948497,577.0933463975324,-186.8263165026827,0.2948138073880458,-0.4625445677400736,0.8361443307393244,62.0,64.0,63.0
1316,2,2,2013,22,27.548537824253096,84.78424314364686,577.2157568563532,577.2157568563531,1.1368683772161603e-13,-0.32085408840768787,-0.8866193469840449,-0.3331047695630571,26.0,28.0,27.0
1322,2,2,2013,22,27.374481937279636,83.86938283845502,578.130617161545,578.1306171615449,1.1368683772161603e-13,-0.4450519771265231,-0.8880202581939638,-0.11553682829686276,26.0,28.0,27.0
1469,2,2,2013,22,119.2501700382854,132.73154310820453,226.05314927454683,529.2684568917955,-303.21530761724864,-0.6257620271987719,0.48862383082557614,-0.6080038135286835,118.0,120.0,119.0
1873,2,2,2013,22,38.23608984634352,143.97378813260474,518.0262118673953,518.0262118673952,1.1368683772161603e-13,-0.4772050549776911,-0.7854672101144443,0.3941022676143467,38.0,40.0,39.0
1958,2,2,2013,22,62.65024947421566,202.37829866967027,389.3382281026919,459.62170133032976,-70.28347322763784,0.7663319301936129,-0.459420977140359,0.4490743129250763,62.0,64.0,63.0
2008,2,2,2013,22,62.12073037403453,270.21729594463034,391.78270405536966,391.78270405536966,0.0,-0.38211381990760884,-0.46761002549626773,0.7970758387324229,62.0,64.0,63.0
2032,2,2,2013,22,19.85323912390986,47.32811296126882,614.6718870387313,614.6718870387311,1.1368683772161603e-13,0.2152375787404949,-0.9405656082180521,-0.26269587232260594,18.0,20.0,19.0
2097,2,2,2013,22,41.64900168428863,163.30473811912847,498.69526188087156,498.6952618808715,5.684341886080802e-14,0.5670352878764503,-0.7472300003456014,0.34658088361359995,40.0,42.0,41.0
2102,4,2,2013,22,12.905309612729146,284.8640717883723,641.0233285169813,377.1359282116277,263.88740030535365,0.2207980271909631,-0.974740501367451,-0.03360336564258067,12.0,14.0,13.0
2119,2,2,2013,22,62.4248987685857,138.66802535329413,390.37624286648315,523.3319746467059,-132.95573178022278,0.8862461330811092,-0.4629108778919233,-0.016772320295949,62.0,64.0,63.0
2151,2,2,2013,22,45.23674308711341,183.41231652813445,478.5876834718656,478.58768347186555,5.684341886080802e-14,-0.708985320978395,-0.7041790260140774,-0.03836292427628137,44.0,46.0,45.0
2214,2,2,2013,22,144.5557111595119,116.06882206430645,197.557633248521,545.9311779356935,-348.3735446871725,0.5246949476285814,0.8146797759631776,-0.24696573561858112,144.0,146.0,145.0
2229,2,2,2013,22,37.26434821917811,138.46304969642998,523.53695030357,523.53695030357,0.0,-0.21184367261964707,-0.7958503976369933,0.5672251783481227,36.0,38.0,37.0
2230,2,2,2013,22,110.05311584807541,61.189365271855536,241.63072012633287,600.8106347281445,-359.17991460181156,-0.0949647443711214,0.34289113492533096,-0.9345626607756946,110.0,112.0,111.0
2324,2,2,2013,22,80.6289883459884,344.42689314214715,317.57310685785285,317.57310685785285,0.0,-0.46154502270896786,-0.1628267929853523,-0.8720456567741642,80.0,82.0,81.0
2510,2,2,2013,22,66.47299411233764,99.03869925876108,372.2527243674177,562.9613007412389,-190.7085763738212,0.3527280126358654,-0.3991812732307559,-0.8463080173340113,66.0,68.0,67.0
2551,2,2,2013,22,68.81572488082938,299.726369439884,362.273630560116,362.273630560116,0.0,-0.9078147354001987,-0.3613686793176738,-0.2128029224387376,68.0,70.0,69.0
2661,2,2,2013,22,97.32604631319684,392.9706814230309,269.02931857696916,269.0293185769691,5.684341886080802e-14,0.8433108112065473,0.1275155046426586,0.5220791815212358,96.0,98.0,97.0
2690,4,2,2013,22,41.21466096512076,110.93711902763049,501.1486629779943,551.0628809723695,-49.91421799437518,-0.6579085478953797,-0.7522463374143489,-0.035802101235690255,40.0,42.0,41.0
2847,2,2,2013,22,104.63943278289959,409.60961389479036,252.3903861052097,252.39038610520964,5.684341886080802e-14,0.9451259889501928,0.252735306808594,-0.20703074579222744,104.0,106.0,105.0
2958,2,2,2013,22,131.17769224403105,451.7381799261525,210.26182007384753,210.2618200738475,2.842170943040401e-14,-0.6110616745788081,0.6583964621286047,0.43945162249954156,130.0,132.0,131.0
2984,4,2,2013,22,14.249621110611926,285.00955754408585,636.6245878882614,376.99044245591415,259.6341454323473,0.1717459639097353,-0.96923253746463,-0.17632813785834212,14.0,16.0,15.0
3054,2,2,2013,22,117.05553896678231,432.5186421596428,229.48135784035722,229.4813578403572,2.842170943040401e-14,-0.5287771221178651,0.4548539726497738,0.7165909702818388,116.0,118.0,117.0
3209,2,2,2013,22,48.34272180280046,200.4881839393645,461.5118160606355,461.5118160606355,0.0,0.2401930043638726,-0.6646734493826028,0.7074719261854066,48.0,50.0,49.0
3331,2,2,2013,22,66.4193440449369,289.5143618393822,372.48563816061784,372.4856381606178,5.684341886080802e-14,0.4763874563505632,-0.4000396298583099,0.7829580358963479,66.0,68.0,67.0
3473,2,2,2013,22,26.006296980956137,76.76778635132852,585.2322136486715,585.2322136486715,0.0,-0.43253680075448014,-0.898745862544805,0.07188734625560649,26.0,28.0,27.0
3510,2,2,2013,22,118.39204384509635,434.6270083714238,227.37299162857616,227.3729916285762,-2.842170943040401e-14,-0.6212049215875892,0.47550205551763325,0.622898258621633,118.0,120.0,119.0
3595,2,2,2013,22,81.95710598406068,348.8854782695624,313.1145217304377,313.1145217304376,5.684341886080802e-14,0.9624936404992364,-0.13991441796695747,-0.23244342891012104,80.0,82.0,81.0
3624,2,2,2013,22,65.67728055120868,286.272677251009,375.727322748991,375.727322748991,0.0,-0.9111729327732819,-0.41187572424240715,-0.011057773787202314,64.0,66.0,65.0
3763,2,2,2013,22,98.0929938648651,316.2294607234533,267.16356967236044,345.7705392765467,-78.60696960418625,0.24039876914805874,0.1407801706669234,-0.9604110449901596,98.0,100.0,99.0
3768,4,2,2013,22,124.90404408782697,398.68191415433375,217.99314223673247,263.31808584566625,-45.32494360893378,-0.24622027139050645,0.5722037605112926,0.7822777220483277,124.0,126.0,125.0
3993,2,2,2013,22,82.97557510823019,214.9278545363557,309.769672466833,447.0721454636443,-137.30247299681128,0.7933868737704858,-0.12229244956301677,0.5963068214506456,82.0,84.0,83.0
3999,2,2,2013,22,148.34545425911708,467.19492780217297,194.8050721978271,194.80507219782703,5.684341886080802e-14,-0.20907366613041958,0.851227712219786,0.4813518298291335,148.0,150.0,149.0
4044,2,2,2013,22,120.4577314190049,437.7600685670484,224.23993143295164,224.2399314329516,2.842170943040401e-14,0.37047678439513904,0.5069025787519652,-0.7783294468789198,120.0,122.0,121.0
4064,2,2,2013,22,13.009520392891622,21.304451918872978,640.6955480811271,640.6955480811271,0.0,-0.05070830974121349,-0.9743326729717466,0.2193274029913282,12.0,14.0,13.0
4069,2,2,2013,22,54.69258690755289,145.38143613756188,427.9943446419571,516.6185638624381,-88.624219220481,-0.8035819552703701,-0.5779632137710637,0.14217793320790828,54.0,56.0,55.0
4076,2,2,2013,22,83.03655421728871,352.42856903128654,309.57143096871346,309.57143096871346,0.0,-0.8710208144659541,-0.12123608269000263,-0.47605099834056497,82.0,84.0,83.0
4078,2,2,2013,22,114.13734429618242,427.68572118546865,234.31427881453135,234.31427881453135,0.0,-0.8855527751042326,0.40892534151073345,-0.22040042553389622,114.0,116.0,115.0
4121,2,2,2013,22,25.171092414240928,72.51731859943999,589.4826814005601,589.4826814005601,0.0,-0.33571825824622814,-0.9050417568054827,-0.26113726183477604,24.0,26.0,25.0
4306,2,2,2013,22,138.79733872493745,12.40674987129872,202.4330491961982,649.5932501287012,-447.160200932503,-0.29890399255708616,0.7523843132680568,-0.5870044704954026,138.0,140.0,139.0
4311,2,2,2013,22,59.25301268163896,256.6556317783769,405.34436822162314,405.3443682216231,5.684341886080802e-14,-0.8004614556603397,-0.511247896737903,0.3128690558096157,58.0,60.0,59.0
4316,4,2,2013,22,11.465762028240873,93.97791950722322,645.3163350505316,568.0220804927768,77.29425455775481,-0.054637422831844924,-0.9800436650226634,0.19112604918021986,10.0,12.0,11.0
4566,2,2,2013,22,29.361779677401085,94.45082637510716,567.5491736248929,567.5491736248929,0.0,-0.4874561321931217,-0.871541084656144,-0.052940126026615394,28.0,30.0,29.0
4603,2,2,2013,22,75.19757374875994,302.27260205482645,336.9782793375915,359.72739794517355,-22.749118607582034,0.581980536682569,-0.2554866988801713,0.7720266845245582,74.0,76.0,75.0
4641,2,2,2013,22,110.99560115328582,422.11670185163393,239.88329814836604,239.88329814836607,-2.842170943040401e-14,0.2354264481164689,0.35829627345089743,0.9034368644008629,110.0,112.0,111.0
4743,2,2,2013,22,73.9647689355769,169.2497180738841,341.6514232576209,492.7502819261159,-151.09885866849504,-0.3865897043423899,-0.2762283816352009,0.879912655708316,72.0,74.0,73.0
4866,2,2,2013,22,59.50593397209585,257.873400921296,404.12659907870403,404.126599078704,5.684341886080802e-14,-0.7635036461876186,-0.5074491235893717,0.3994465786893037,58.0,60.0,59.0
4897,2,2,2013,22,42.515263155600564,168.18789352530803,493.812106474692,493.812106474692,0.0,-0.5469156809874162,-0.7370973386094377,0.39695182491702286,42.0,44.0,43.0
4923,2,2,2013,22,131.5568520537478,48.72416627494276,209.83301758447342,613.2758337250573,-403.4428161405839,-0.41610528627032617,0.6633628773470643,-0.6219373631610451,130.0,132.0,131.0
4935,2,2,2013,22,105.20299125421276,410.78887414958234,251.21112585041766,251.21112585041766,0.0,0.9649967552566802,0.26223955912622143,-0.0034170123447416424,104.0,106.0,105.0
4961,2,2,2013,22,128.33119114946473,448.3813238196329,213.61867618036715,213.61867618036712,2.842170943040401e-14,0.009044782718072714,0.6202061629750488,-0.784386707761771,128.0,130.0,129.0
5049,2,2,2013,22,142.76833432908285,11.913163152153679,198.97957300470344,650.0868368478464,-451.10726384314296,-0.5415924051040708,0.7961956524691955,0.26972235673510647,142.0,144.0,143.0
5094,2,2,2013,22,10.846301194975812,14.974426249393602,647.0255737506064,647.0255737506064,0.0,0.09810628161745857,-0.9821355056136636,0.1605771033497285,10.0,12.0,11.0
5138,2,2,2013,22,21.468450512223257,54.59529677646901,607.404703223531,607.404703223531,0.0,-0.2500531013174169,-0.9306192380466134,-0.26724760111006124,20.0,22.0,21.0
5192,4,2,2013,22,105.05908958229682,360.14600656640243,251.5109007156774,301.85399343359757,-50.34309271792017,0.8746541755371073,0.25981507409131765,-0.40923856183212526,104.0,106.0,105.0
5241,4,2,2013,22,10.462419256522331,251.75155609679118,648.0420045632865,410.2484439032088,237.79356066007767,-0.18140363693455774,-0.9833742257359545,-0.008237272918100847,10.0,12.0,11.0
5312,2,2,2013,22,82.63169081839968,351.1080952677716,310.8919047322284,310.8919047322284,0.0,-0.3492748769180228,-0.12824707453668127,-0.9282024284748899,82.0,84.0,83.0
5357,2,2,2013,22,33.36450158760814,315.5979893723614,545.5235019178918,346.4020106276386,199.12149129025323,-0.28043190349057634,-0.8351887611551808,-0.473093733571611,32.0,34.0,33.0
5357,3,2,2013,22,31.967337966671888,120.73662814308832,351.5256864139619,541.2633718569117,-189.73768544294978,0.4972153414914593,-0.8483500441330517,0.18187662522979914,30.0,32.0,31.0
5380,2,2,2013,22,25.86752475113049,76.05689432081364,585.9431056791864,585.9431056791864,0.0,-0.2945996745126948,-0.8998052137065319,-0.3218098960000403,24.0,26.0,25.0
5571,2,2,2013,22,134.05156824020312,150.13003421655236,207.11633404246354,511.86996578344764,-304.75363174098413,0.5056039200638961,0.6953055204278575,-0.5107983058689286,134.0,136.0,135.0
5769,4,2,2013,22,18.27139167345828,97.39342408633183,621.4116123504749,564.6065759136682,56.805036436806745,-0.313174046578976,-0.9495821386983414,-0.014689398028277395,18.0,20.0,19.0
5879,4,2,2013,22,5.322632163520397,239.30505406247758,658.3225898477056,422.69494593752245,235.6276439101831,-0.007830246045552039,-0.9956881335892438,-0.09243282899724704,4.0,6.0,5.0
5912,2,2,2013,22,29.775363401196902,218.98161411300748,565.312676566925,443.0183858869925,122.29429067993249,-0.4179116564730344,-0.8679790668582623,0.26825768745708795,28.0,30.0,29.0
5927,2,2,2013,22,40.487193197598366,156.73612047738416,505.26387952261587,505.26387952261587,0.0,-0.649263791907628,-0.7605511117951288,0.004305213690606261,40.0,42.0,41.0
5955,2,2,2013,22,12.136840575825866,18.62989396712711,643.3701060328729,643.3701060328729,0.0,-0.20996867043681008,-0.9776482521400734,0.010819081405439175,12.0,14.0,13.0
6117,2,2,2013,22,23.74957372855492,65.4478810316419,596.5521189683582,596.5521189683581,1.1368683772161603e-13,0.12614361964550228,-0.9153144754651384,0.3824750949103866,22.0,24.0,23.0
6218,2,2,2013,22,19.595664724622868,46.2042594883767,615.7957405116233,615.7957405116233,0.0,-0.06192585524677415,-0.9420828319763221,0.32961360127796363,18.0,20.0,19.0
6289,2,2,2013,22,58.222754312553874,251.65253159697005,410.34746840303,410.34746840302995,5.684341886080802e-14,0.8490473958241161,-0.5266182295437845,0.04232918563422324,58.0,60.0,59.0
6409,2,2,2013,22,70.16890528806485,156.58279985932975,356.680119888055,505.4172001406703,-148.73708025261527,0.5108658609089061,-0.33924849113102573,0.789890203397361,70.0,72.0,71.0
6431,2,2,2013,22,71.1376758816959,309.2479381397885,352.7520618602115,352.7520618602115,0.0,0.7427086055943537,-0.3232952325812123,-0.5863992835656867,70.0,72.0,71.0
6452,2,2,2013,22,63.18327873023332,275.1034455813933,386.8965544186066,386.8965544186067,-5.684341886080802e-14,-0.8820939148932816,-0.45113801481237714,0.13559062246111103,62.0,64.0,63.0
