event_number,record_index,vlm,pro,pdg,theta_deg,et_keV,Eprime_k_keV,Eprime_from_E0_minus_et_keV,difference_k_minus_E0_minus_et_keV,px,py,pz,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg
11,3,3,2013,22,40.89077956395451,159.02002524799929,502.9799747520007,502.9799747520007,0.0,-0.3958424499850764,-0.7559588248334574,0.5213779914287046,40.0,42.0,41.0
17,3,3,2013,22,38.902232905254614,147.75258987902973,514.2474101209702,514.2474101209702,0.0,0.12911800850337507,-0.77821867524223,-0.6145764666698122,38.0,40.0,39.0
19,3,3,2013,22,40.434943329943884,156.44029747602818,505.55970252397185,505.55970252397185,0.0,0.36565721295011716,-0.7611428930586485,0.535683020977764,40.0,42.0,41.0
22,3,3,2013,22,176.2861590018583,477.51065035168006,184.48934964832,184.48934964831994,5.684341886080802e-14,-0.03295043789329786,0.9979000000213292,0.055766106194275064,176.0,178.0,177.0
61,3,3,2013,22,94.06168534140691,384.694953804623,277.305046195377,277.305046195377,0.0,0.9291758809802568,0.07083042284379215,0.36278813845594954,94.0,96.0,95.0
62,3,3,2013,22,158.62462004192926,134.22464884308803,189.04081486570854,527.7753511569119,-338.7345362912034,-0.3624297515492112,0.9312125177451536,-0.03857359183054024,158.0,160.0,159.0
74,3,3,2013,22,82.44573783041061,58.59093382702712,311.50177491731125,603.4090661729729,-291.9072912556616,-0.7087160414742355,-0.13146508488902175,0.6931367137962121,82.0,84.0,83.0
79,3,3,2013,22,39.3934097615723,150.53826868098386,511.46173131901617,511.46173131901617,0.0,0.40089354230060237,-0.7728065759518532,0.491990207125353,38.0,40.0,39.0
91,3,3,2013,22,116.96661518129625,432.3760558041298,229.62394419587017,229.6239441958702,-2.842170943040401e-14,0.6527169366608541,0.4534712554694036,0.6068973727567731,116.0,118.0,117.0
96,3,3,2013,22,97.41895711596021,393.1982697243811,268.8017302756189,268.8017302756189,0.0,0.07977742232986693,0.12912369789878952,-0.9884142013990614,96.0,98.0,97.0
135,3,3,2013,22,3.284199596947902,1.4055227121221314,660.5944772878779,660.5944772878779,0.0,0.04652382129951331,-0.9983576530299897,-0.03342948830212005,2.0,4.0,3.0
140,3,3,2013,22,121.11529098166783,438.7260636379964,223.2739363620036,223.2739363620036,0.0,-0.7133408899557983,0.5167618292956062,-0.4733941132926439,120.0,122.0,121.0
154,3,3,2013,22,54.439539841278716,232.71179288529308,429.28820711470695,429.2882071147069,5.684341886080802e-14,-0.33895087001053315,-0.5815617104136508,-0.7395257160503964,54.0,56.0,55.0
216,3,3,2013,22,108.1136880874077,416.6583254889857,245.3416745110143,245.34167451101428,2.842170943040401e-14,-0.5046103793288881,0.3109035010560621,-0.8054237258143311,108.0,110.0,109.0
239,3,3,2013,22,35.75391176925481,129.91320549797857,532.0867945020215,532.0867945020215,0.0,-0.08807126548581126,-0.811534091448293,-0.5776295271304276,34.0,36.0,35.0
248,3,3,2013,22,80.01015539481597,342.3115982091736,319.6884017908264,319.6884017908264,0.0,-0.9756142902758739,-0.1734736226147937,0.13447549541237266,80.0,82.0,81.0
276,3,3,2013,22,65.88912188262898,405.8126893139858,374.7980723500541,256.1873106860142,118.6107616640399,0.8063024080420521,-0.40850376277260536,-0.427786281437602,64.0,66.0,65.0
277,3,3,2013,22,14.274823478390584,25.46134851923787,636.5386514807622,636.5386514807622,0.0,-0.24619432676450514,-0.9691241724783417,0.013663520305595103,14.0,16.0,15.0
280,3,3,2013,22,64.88358435242537,282.76393699328764,379.23606300671236,379.23606300671236,0.0,-0.2589767530853242,-0.4244588572209279,-0.8676207235238719,64.0,66.0,65.0
281,3,3,2013,22,126.22082795816713,116.65984535255255,216.26831289679336,545.3401546474474,-329.0718417506541,-0.11414131788399653,0.5908989719360307,0.7986301800687515,126.0,128.0,127.0
308,3,3,2013,22,163.5023969410793,474.87117587782234,187.12882412217763,187.12882412217766,-2.842170943040401e-14,-0.04877832621135458,0.9588316156730219,-0.2797545489851436,162.0,164.0,163.0
314,3,3,2013,22,16.826354704199716,34.7883163717807,627.2116836282194,627.2116836282192,1.1368683772161603e-13,-0.27049733460110065,-0.957186448468397,0.10307907082505703,16.0,18.0,17.0
338,3,3,2013,22,60.621175436813864,115.4376431894456,398.80664752906426,546.5623568105544,-147.75570928149017,-0.023568192933718295,-0.4905817359436473,0.8710764034459644,60.0,62.0,61.0
358,3,3,2013,22,121.67566310258175,439.5375425535534,222.4624574464466,222.4624574464466,0.0,0.8506990559790809,0.5251102140130477,-0.023882614921148432,120.0,122.0,121.0
377,3,3,2013,22,49.034607792176566,204.23816312919973,457.76183687080027,457.76183687080027,0.0,0.5212679997938651,-0.655603049719405,-0.5463188753736398,48.0,50.0,49.0
378,3,3,2013,22,57.79200439170568,249.54064827278665,412.45935172721335,412.45935172721335,0.0,0.7395980634085518,-0.5329943568760813,0.4109887104782471,56.0,58.0,57.0
387,3,3,2013,22,100.70570014244046,400.97544445421033,261.02455554578967,261.02455554578967,0.0,0.9749203920280533,0.18576437093228648,-0.12256356595660377,100.0,102.0,101.0
399,3,3,2013,22,74.05413075457345,320.6907159585615,341.3092840414385,341.3092840414385,0.0,-0.9380715657847734,-0.2747290714412568,0.2110584629223106,74.0,76.0,75.0
412,3,3,2013,22,42.193720401853525,166.37703159032657,495.62296840967343,495.62296840967343,0.0,0.46720326382623767,-0.7408782121877588,-0.4825148546683109,42.0,44.0,43.0
414,3,3,2013,22,39.97421246580405,153.83058091054636,508.16941908945364,508.16941908945364,0.0,0.28448455838158404,-0.7663336696823155,-0.5760219116957885,38.0,40.0,39.0
416,3,3,2013,22,132.54664483708478,453.2664497216802,208.73355027831985,208.7335502783198,5.684341886080802e-14,0.2412787637935656,0.676190205562774,0.6960972374914457,132.0,134.0,133.0
418,3,3,2013,22,107.28506637746466,511.74595319749454,246.97538472682368,150.25404680250546,96.72133792431822,-0.733304900338806,0.2971260142823693,0.6115390868748842,106.0,108.0,107.0
438,3,3,2013,22,80.21033775301962,342.9985093270005,319.0014906729995,319.0014906729995,0.0,0.6885003288073703,-0.1700317013902043,0.7050223526630169,80.0,82.0,81.0
439,3,3,2013,22,119.41705156301545,436.2004844418846,225.7995155581154,225.7995155581154,0.0,-0.6230406197468835,0.4911630102571798,-0.6087522349039262,118.0,120.0,119.0
445,3,3,2013,22,94.60833448565252,386.11924685476004,275.88075314523996,275.88075314523996,0.0,0.5338332431047137,0.08034391913802574,0.8417641731588758,94.0,96.0,95.0
447,3,3,2013,22,30.29240601737812,99.49799192723097,562.5020080727691,562.5020080727691,0.0,-0.401563364044496,-0.8634624131143115,-0.30525321586525134,30.0,32.0,31.0
466,3,3,2013,22,23.301533453813914,63.26615397435364,598.7338460256464,598.7338460256464,0.0,-0.1858897611762507,-0.9184357947063125,0.3491714302345206,22.0,24.0,23.0
474,3,3,2013,22,57.903145298714364,250.08667594260746,411.9133240573926,411.9133240573925,5.684341886080802e-14,0.33695561055596807,-0.5313520752661437,-0.7772553561251393,56.0,58.0,57.0
485,3,3,2013,22,26.751049444493972,80.61315276739211,581.3868472326079,581.3868472326079,0.0,0.43426672116721954,-0.8929706991404934,-0.11838811326822762,26.0,28.0,27.0
488,3,3,2013,22,96.5841883840356,5.115208588522118,270.86211966451276,656.8847914114779,-386.0226717469651,-0.22932358745396939,0.11466301024423964,-0.9665728561877636,96.0,98.0,97.0
492,3,3,2013,22,42.14282859327377,166.0902292705748,495.9097707294252,495.9097707294252,0.0,-0.48580473860958384,-0.7414744898551988,0.4628275454620723,42.0,44.0,43.0
501,3,3,2013,22,62.60921019376947,213.77678229313753,389.52701034916583,448.22321770686244,-58.69620735769661,-0.8338792992647969,-0.4600570641082473,0.30494722825720416,62.0,64.0,63.0
515,3,3,2013,22,42.78192323726544,169.68801511844288,492.3119848815571,492.3119848815571,0.0,0.3251073109354486,-0.7339441910526736,0.5963481875518346,42.0,44.0,43.0
520,3,3,2013,22,81.44102799886514,347.16605776285655,314.83394223714345,314.83394223714345,0.0,0.4704238076418531,-0.14882728275997426,0.8697999086629198,80.0,82.0,81.0
534,3,3,2013,22,86.89821733336105,364.52570118332517,297.47429881667483,297.47429881667483,0.0,0.7022045964528754,-0.05410988083174528,-0.7099160693468128,86.0,88.0,87.0
