event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
11,3,3,22,2013,662.0,502.9799747520007,159.02002524799929,40.89077956395451,433.36530499069084,-29.1751802405622,-7.827262109192569,7.827262109192569
17,3,3,22,2013,662.0,514.2474101209702,147.75258987902976,38.902232905254614,415.73266959872564,-26.255460914806186,-7.043945322131413,7.043945322131413
19,3,3,22,2013,662.0,505.55970252397185,156.44029747602815,40.434943329943884,429.3660555458947,-28.49925526067075,-7.645921601948486,7.645921601948486
22,3,3,22,2013,662.0,184.48934964832,477.51065035168,176.2861590018583,846.1863062502746,-134.73119249381176,-36.14635279842993,36.14635279842993
61,3,3,22,2013,662.0,277.305046195377,384.694953804623,94.06168534140691,735.6273592220904,-100.58718384552543,-26.986028750898868,26.986028750898868
62,3,3,22,2013,662.0,189.04081486570854,472.9591851342915,158.62462004192926,840.8648208595215,-133.01148662826492,-35.684981576406194,35.684981576406194
68,2,2,22,2013,662.0,268.22729064799245,393.77270935200755,97.65425625316492,746.653733107701,-103.83400050820357,-27.857100834420844,27.857100834420844
69,4,2,22,2013,662.0,606.6052571364819,55.394742863518104,21.641359340153294,244.2987596834897,-6.28013171321746,-1.6848648952394067,1.6848648952394067
69,5,2,22,2013,662.0,494.4093095426229,167.5906904573771,45.746200377739754,475.26969589039555,-57.44485568558333,-15.411590899125747,15.411590899125747
74,3,3,22,2013,662.0,311.50177491731125,350.49822508268875,82.44573783041061,693.5830359333281,-88.56058707856965,-23.75947369964148,23.75947369964148
79,3,3,22,2013,662.0,511.46173131901617,150.53826868098383,39.3934097615723,420.1327799113132,-26.969381166623233,-7.235479389443317,7.235479389443317
82,2,2,22,2013,662.0,612.1112012797081,49.8887987202919,20.431891604785054,231.2469151627993,-5.381225255308715,-1.443701810738029,1.443701810738029
82,4,3,22,2013,662.0,344.43588338084845,317.56411661915155,80.60783556095986,694.5930895156466,-113.67017265333816,-30.495997900224328,30.495997900224328
91,3,3,22,2013,662.0,229.62394419587017,432.3760558041298,116.96661518129625,792.9920807200756,-117.87514377393032,-31.624128415651292,31.624128415651292
95,2,2,22,2013,662.0,193.32769016586516,468.6723098341348,150.6069421996375,835.8443712498838,-131.39569987841702,-35.25149029034255,35.25149029034255
96,3,3,22,2013,662.0,268.8017302756189,393.1982697243811,97.41895711596021,745.9575415533625,-103.62789671653142,-27.80180628659579,27.80180628659579
135,3,3,22,2013,662.0,660.5944772878779,1.4055227121220923,3.284199596947902,37.92646360845865,-0.02600334789083599,-0.006976307189188113,0.006976307189188113
140,3,3,22,2013,662.0,223.2739363620036,438.7260636379964,121.11529098166783,800.5358452502329,-120.21922792995412,-32.25301094333127,32.25301094333127
154,3,3,22,2013,662.0,429.28820711470695,232.71179288529305,54.439539841278716,540.3570334185987,-50.109712548358154,-13.443682304556592,13.443682304556592
169,2,2,22,2013,662.0,574.2878867141541,87.71211328584593,28.102544729003302,311.98558201108693,-12.329453744418096,-3.307807023812462,3.307807023812462
171,2,2,22,2013,662.0,491.5088397985127,170.49116020148728,42.92480494512507,450.89780412199826,-32.2322084632013,-8.647416808375132,8.647416808375132
209,4,2,22,2013,662.0,267.0305023733736,394.9694976266264,98.14815745290969,748.103515294733,-104.26367463362656,-27.97237594064103,27.97237594064103
216,3,3,22,2013,662.0,245.3416745110143,416.6583254889857,108.1136880874077,774.2273958817781,-112.11386525945461,-30.078464030888885,30.078464030888885
227,2,2,22,2013,662.0,199.60227696620822,462.39772303379175,142.016116397053,828.4812123279164,-129.03771567675082,-34.61887858945179,34.61887858945179
239,3,3,22,2013,662.0,532.0867945020215,129.91320549797854,35.75391176925481,386.8442241664028,-21.813893936687386,-5.852339696163897,5.852339696163897
248,3,3,22,2013,662.0,319.6884017908264,342.3115982091736,80.01015539481597,683.3878381995174,-85.73205248863701,-23.000620405925076,23.000620405925076
276,3,3,22,2013,662.0,374.7980723500541,287.2019276499459,65.88912188262898,613.1922139132943,-67.25812826229544,-18.044344355095387,18.044344355095387
276,4,3,22,2013,662.0,256.18731068601426,405.81268931398574,133.5713251458682,858.8750831446649,-187.9934849113963,-50.43582487200025,50.43582487200025
