Q_bin_left_au,Q_bin_right_au,Q_bin_center_au,Volume2_counts,Volume3_counts
-59.68727361980768,-58.8083362901582,-59.24780495498294,1,0
-58.8083362901582,-57.92939896050872,-58.368867625333465,0,0
-57.92939896050872,-57.050461630859246,-57.48993029568398,0,0
-57.050461630859246,-56.17152430120977,-56.61099296603451,0,0
-56.17152430120977,-55.2925869715603,-55.732055636385034,0,0
-55.2925869715603,-54.413649641910816,-54.85311830673555,0,0
-54.413649641910816,-53.53471231226134,-53.97418097708608,0,1
-53.53471231226134,-52.65577498261187,-53.095243647436604,1,1
-52.65577498261187,-51.776837652962385,-52.21630631778713,7,5
-51.776837652962385,-50.89790032331291,-51.33736898813765,12,16
-50.89790032331291,-50.018962993663436,-50.45843165848817,15,14
-50.018962993663436,-49.14002566401396,-49.5794943288387,11,26
-49.14002566401396,-48.26108833436448,-48.70055699918922,14,21
-48.26108833436448,-47.382151004715006,-47.82161966953974,15,34
-47.382151004715006,-46.503213675065524,-46.94268233989027,32,25
-46.503213675065524,-45.62427634541605,-46.06374501024079,25,22
-45.62427634541605,-44.745339015766575,-45.18480768059131,27,47
-44.745339015766575,-43.8664016861171,-44.30587035094184,17,39
-43.8664016861171,-42.987464356467626,-43.42693302129236,27,33
-42.987464356467626,-42.108527026818145,-42.54799569164288,27,39
-42.108527026818145,-41.22958969716867,-41.66905836199341,30,42
-41.22958969716867,-40.35065236751919,-40.79012103234393,42,57
-40.35065236751919,-39.471715037869714,-39.91118370269445,49,48
-39.471715037869714,-38.59277770822024,-39.03224637304498,43,48
-38.59277770822024,-37.713840378570765,-38.1533090433955,46,73
-37.713840378570765,-36.83490304892129,-37.27437171374603,42,80
-36.83490304892129,-35.95596571927181,-36.395434384096546,238,855
-35.95596571927181,-35.07702838962233,-35.51649705444707,881,3053
-35.07702838962233,-34.19809105997285,-34.63755972479759,785,2827
-34.19809105997285,-33.31915373032338,-33.758622395148116,722,2590
-33.31915373032338,-32.440216400673904,-32.87968506549864,647,2368
-32.440216400673904,-31.561279071024426,-32.00074773584917,664,2256
-31.561279071024426,-30.682341741374948,-31.121810406199685,620,2047
-30.682341741374948,-29.803404411725474,-30.24287307655021,598,1990
-29.803404411725474,-28.924467082075996,-29.363935746900736,561,1837
-28.924467082075996,-28.04552975242652,-28.48499841725126,516,1764
-28.04552975242652,-27.166592422777043,-27.60606108760178,481,1690
-27.166592422777043,-26.28765509312757,-26.727123757952306,466,1648
-26.28765509312757,-25.408717763478087,-25.848186428302828,483,1533
-25.408717763478087,-24.529780433828613,-24.96924909865335,430,1517
-24.529780433828613,-23.65084310417914,-24.090311769003875,410,1580
-23.65084310417914,-22.771905774529664,-23.2113744393544,406,1544
-22.771905774529664,-21.892968444880182,-22.332437109704923,452,1434
-21.892968444880182,-21.014031115230708,-21.453499780055445,449,1518
-21.014031115230708,-20.135093785581233,-20.57456245040597,423,1425
-20.135093785581233,-19.25615645593175,-19.695625120756493,444,1424
-19.25615645593175,-18.377219126282277,-18.816687791107015,446,1542
-18.377219126282277,-17.498281796632803,-17.93775046145754,459,1542
-17.498281796632803,-16.61934446698332,-17.058813131808062,421,1526
-16.61934446698332,-15.740407137333847,-16.179875802158584,414,1587
-15.740407137333847,-14.861469807684372,-15.30093847250911,419,1606
-14.861469807684372,-13.982532478034898,-14.422001142859635,454,1622
-13.982532478034898,-13.103595148385416,-13.543063813210157,494,1670
-13.103595148385416,-12.224657818735942,-12.664126483560679,463,1723
-12.224657818735942,-11.345720489086467,-11.785189153911205,503,1777
-11.345720489086467,-10.466783159436986,-10.906251824261727,522,1764
-10.466783159436986,-9.587845829787511,-10.027314494612249,522,1842
-9.587845829787511,-8.708908500138037,-9.148377164962774,509,1978
-8.708908500138037,-7.829971170488555,-8.269439835313296,593,1999
-7.829971170488555,-6.951033840839081,-7.390502505663818,597,2143
-6.951033840839081,-6.072096511189606,-6.511565176014344,635,2152
-6.072096511189606,-5.193159181540132,-5.632627846364869,629,2263
-5.193159181540132,-4.31422185189065,-4.753690516715391,690,2463
-4.31422185189065,-3.435284522241176,-3.874753187065913,758,2662
-3.435284522241176,-2.5563471925917014,-2.9958158574164386,845,2939
-2.5563471925917014,-1.6774098629422198,-2.1168785277669606,945,3236
-1.6774098629422198,-0.7984725332927454,-1.2379411981174826,1161,4045
-0.7984725332927454,0.0804647963567291,-0.35900386846800814,1740,6366
0.0804647963567291,0.9594021260062036,0.5199334611814663,22,31
0.9594021260062036,1.8383394556556851,1.3988707908309443,34,36
1.8383394556556851,2.7172767853051596,2.2778081204804224,30,32
2.7172767853051596,3.596214114954634,3.156745450129897,21,36
3.596214114954634,4.475151444604116,4.035682779779375,34,39
4.475151444604116,5.35408877425359,4.914620109428853,20,47
5.35408877425359,6.2330261039030646,5.793557439078327,19,33
6.2330261039030646,7.111963433552539,6.672494768727802,26,31
7.111963433552539,7.9909007632020135,7.551432098377276,26,28
7.9909007632020135,8.869838092851502,8.430369428026758,29,41
8.869838092851502,9.748775422500977,9.30930675767624,25,28
9.748775422500977,10.627712752150451,10.188244087325714,24,38
10.627712752150451,11.506650081799926,11.067181416975188,25,24
11.506650081799926,12.3855874114494,11.946118746624663,25,29
12.3855874114494,13.264524741098874,12.825056076274137,21,30
13.264524741098874,14.143462070748349,13.703993405923612,27,32
14.143462070748349,15.022399400397838,14.582930735573093,21,37
15.022399400397838,15.901336730047312,15.461868065222575,19,26
15.901336730047312,16.780274059696787,16.34080539487205,27,37
16.780274059696787,17.65921138934626,17.219742724521524,24,43
17.65921138934626,18.538148718995735,18.098680054171,26,25
18.538148718995735,19.41708604864521,18.977617383820473,28,21
19.41708604864521,20.2960233782947,19.856554713469954,17,26
20.2960233782947,21.174960707944173,20.735492043119436,22,21
21.174960707944173,22.053898037593648,21.61442937276891,16,33
22.053898037593648,22.932835367243122,22.493366702418385,21,21
22.932835367243122,23.811772696892596,23.37230403206786,22,20
23.811772696892596,24.69071002654207,24.251241361717334,20,29
24.69071002654207,25.569647356191545,25.130178691366808,22,19
25.569647356191545,26.448584685841034,26.00911602101629,25,34
26.448584685841034,27.32752201549051,26.88805335066577,30,26
27.32752201549051,28.206459345139983,27.766990680315246,16,21
28.206459345139983,29.085396674789457,28.64592800996472,16,23
29.085396674789457,29.964334004438932,29.524865339614195,16,22
29.964334004438932,30.843271334088406,30.40380266926367,13,18
30.843271334088406,31.72220866373788,31.282739998913144,20,29
31.72220866373788,32.60114599338737,32.161677328562625,37,24
32.60114599338737,33.480083323036844,33.04061465821211,15,18
33.480083323036844,34.35902065268632,33.91955198786158,26,32
34.35902065268632,35.23795798233579,34.798489317511056,12,19
35.23795798233579,36.11689531198527,35.67742664716053,14,27
36.11689531198527,36.99583264163474,36.556363976810005,16,16
36.99583264163474,37.874769971284216,37.43530130645948,28,17
37.874769971284216,38.753707300933705,38.31423863610896,13,25
38.753707300933705,39.63264463058318,39.19317596575844,17,18
39.63264463058318,40.511581960232654,40.07211329540792,24,25
40.511581960232654,41.39051928988213,40.95105062505739,18,23
41.39051928988213,42.2694566195316,41.829987954706866,26,20
42.2694566195316,43.14839394918108,42.70892528435634,9,22
43.14839394918108,44.027331278830566,43.58786261400582,31,23
44.027331278830566,44.90626860848004,44.4667999436553,19,20
44.90626860848004,45.785205938129515,45.34573727330478,18,22
45.785205938129515,46.66414326777899,46.22467460295425,13,19
46.66414326777899,47.543080597428464,47.10361193260373,12,21
47.543080597428464,48.42201792707794,47.9825492622532,13,13
48.42201792707794,49.30095525672741,48.861486591902676,15,20
49.30095525672741,50.1798925863769,49.74042392155216,14,18
50.1798925863769,51.058829916026376,50.61936125120164,15,21
51.058829916026376,51.93776724567585,51.49829858085111,15,16
51.93776724567585,52.816704575325325,52.37723591050059,14,12
52.816704575325325,53.6956419049748,53.25617324015006,19,22
53.6956419049748,54.574579234624274,54.13511056979954,17,17
54.574579234624274,55.45351656427375,55.01404789944901,15,17
55.45351656427375,56.33245389392324,55.89298522909849,9,18
56.33245389392324,57.21139122357271,56.771922558747974,15,16
57.21139122357271,58.090328553222186,57.65085988839745,21,16
58.090328553222186,58.96926588287166,58.52979721804692,14,13
58.96926588287166,59.848203212521135,59.4087345476964,16,18
59.848203212521135,60.72714054217061,60.28767187734587,10,20
60.72714054217061,61.606077871820084,61.166609206995346,13,27
61.606077871820084,62.48501520146957,62.04554653664483,13,17
62.48501520146957,63.36395253111905,62.92448386629431,15,25
63.36395253111905,64.24288986076851,63.803421195943784,9,13
64.24288986076851,65.121827190418,64.68235852559326,12,12
65.121827190418,66.00076452006746,65.56129585524273,12,9
66.00076452006746,66.87970184971695,66.44023318489221,11,12
66.87970184971695,67.75863917936644,67.3191705145417,6,6
67.75863917936644,68.6375765090159,68.19810784419117,13,7
68.6375765090159,69.51651383866536,69.07704517384063,3,8
