event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,energy_transfer_E0_minus_Eprime_keV
11,3,3,22,2013,662.0,502.9799747520007,159.02002524799929
17,3,3,22,2013,662.0,514.2474101209702,147.75258987902976
19,3,3,22,2013,662.0,505.55970252397185,156.44029747602815
22,3,3,22,2013,662.0,184.48934964832,477.51065035168
61,3,3,22,2013,662.0,277.305046195377,384.694953804623
62,3,3,22,2013,662.0,189.04081486570854,472.9591851342915
68,2,2,22,2013,662.0,268.22729064799245,393.77270935200755
69,4,2,22,2013,662.0,606.6052571364819,55.394742863518104
69,5,2,22,2013,662.0,494.4093095426229,167.5906904573771
74,3,3,22,2013,662.0,311.50177491731125,350.49822508268875
79,3,3,22,2013,662.0,511.46173131901617,150.53826868098383
82,2,2,22,2013,662.0,612.1112012797081,49.8887987202919
82,4,3,22,2013,662.0,344.43588338084845,317.56411661915155
91,3,3,22,2013,662.0,229.62394419587017,432.3760558041298
95,2,2,22,2013,662.0,193.32769016586516,468.6723098341348
96,3,3,22,2013,662.0,268.8017302756189,393.1982697243811
135,3,3,22,2013,662.0,660.5944772878779,1.4055227121220923
140,3,3,22,2013,662.0,223.2739363620036,438.7260636379964
154,3,3,22,2013,662.0,429.28820711470695,232.71179288529305
169,2,2,22,2013,662.0,574.2878867141541,87.71211328584593
171,2,2,22,2013,662.0,491.5088397985127,170.49116020148728
209,4,2,22,2013,662.0,267.0305023733736,394.9694976266264
216,3,3,22,2013,662.0,245.3416745110143,416.6583254889857
227,2,2,22,2013,662.0,199.60227696620822,462.39772303379175
239,3,3,22,2013,662.0,532.0867945020215,129.91320549797854
248,3,3,22,2013,662.0,319.6884017908264,342.3115982091736
276,3,3,22,2013,662.0,374.7980723500541,287.2019276499459
276,4,3,22,2013,662.0,256.18731068601426,405.81268931398574
277,3,3,22,2013,662.0,636.5386514807622,25.461348519237845
280,3,3,22,2013,662.0,379.23606300671236,282.76393699328764
